Temperature (deg C),Storage Modulus (MPa),Loss Modulus (MPpa),Tan Delta
-80.034,737.48,21.112,0.028597
-79.957,738.09,21.057,0.028485
-79.882,738.48,20.87,0.028199
-79.798,739.36,20.701,0.027925
-79.707,739.9,20.435,0.027516
-79.611,740.49,20.101,0.027008
-79.493,741.75,19.775,0.026495
-79.403,742.8,19.526,0.02611
-79.226,745.8,21.818,0.029257
-79.114,746.64,22.01,0.029483
-78.933,747.99,22.459,0.030038
-78.824,748.83,22.584,0.030179
-78.613,750.16,22.151,0.029569
-78.493,751.01,22.364,0.029821
-78.306,752.28,22.375,0.029787
-78.106,753.59,22.257,0.029575
-77.92,754.54,22.269,0.029543
-77.739,755.39,22.412,0.029681
-77.533,761.84,22.471,0.029497
-77.36,762.26,22.578,0.029621
-77.117,762.24,22.229,0.029163
-76.951,762.36,22.113,0.029007
-76.714,762.53,22.002,0.028854
-76.513,762.55,21.861,0.028668
-76.321,762.45,22.031,0.028895
-76.034,762.17,22.235,0.029174
-75.866,762.16,21.865,0.028688
-75.635,761.9,21.555,0.028292
-75.413,762.07,21.398,0.02808
-75.205,761.76,21.65,0.028422
-74.952,761.41,21.72,0.028526
-74.715,761.06,21.762,0.028596
-74.487,760.81,21.528,0.028298
-74.188,760.28,21.381,0.028125
-73.977,759.86,21.374,0.028132
-73.687,759.46,21.327,0.028084
-73.476,759.12,21.294,0.028054
-73.233,758.48,21.701,0.028612
-73.04,758.24,21.243,0.028018
-72.776,757.57,21.431,0.02829
-72.563,757.18,21.09,0.027856
-72.364,756.5,21.489,0.028407
-72.076,755.71,21.353,0.028255
-71.892,755.21,21.27,0.028163
-71.593,754.43,21.361,0.028315
-71.432,754.19,21.105,0.027984
-71.158,753.5,21.371,0.028363
-70.908,753.15,20.918,0.027774
-70.696,752.78,21.167,0.028119
-70.429,752.46,21.203,0.028178
-70.172,752.19,21.092,0.028041
-69.957,751.84,20.95,0.027865
-69.72,751.75,20.963,0.027886
-69.499,751.58,20.954,0.027881
-69.201,751.63,20.909,0.027818
-68.974,751.73,20.765,0.027623
-68.729,751.83,20.937,0.027848
-68.505,752.01,20.852,0.027729
-68.23,752.02,20.863,0.027743
-68.019,752.06,20.705,0.027531
-67.728,751.95,20.757,0.027604
-67.522,751.74,20.723,0.027566
-67.248,751.46,20.671,0.027507
-67.014,751.14,20.591,0.027414
-66.794,750.79,20.75,0.027638
-66.526,750.39,20.626,0.027487
-66.313,749.97,20.576,0.027435
-66.051,749.55,20.591,0.027472
-65.824,748.9,20.608,0.027519
-65.573,748.33,20.483,0.02737
-65.312,747.42,20.148,0.026956
-65.092,746.69,20.382,0.027295
-64.821,745.64,20.3,0.027227
-64.543,744.52,20.343,0.027323
-64.375,743.89,20.129,0.027058
-64.079,742.67,20.193,0.027188
-63.859,742.03,19.886,0.026796
-63.583,741.15,19.73,0.026618
-63.329,740.41,19.572,0.026433
-63.102,740.09,19.56,0.026427
-62.86,739.21,19.586,0.026496
-62.629,739.02,19.306,0.026124
-62.399,738.32,19.44,0.02633
-62.083,737.87,19.878,0.026939
-61.894,737.65,19.476,0.026403
-61.646,737.39,19.631,0.026622
-61.397,737.25,19.317,0.026202
-61.152,736.92,19.451,0.026395
-60.844,736.69,19.369,0.026292
-60.638,736.51,19.506,0.026485
-60.396,735.81,19.547,0.026565
-60.097,735.68,19.511,0.02652
-59.895,735.37,19.296,0.026237
-59.643,734.8,19.13,0.026032
-59.407,733.93,19.32,0.026323
-59.099,733.2,19.315,0.026345
-58.957,732.75,18.938,0.025848
-58.551,731.08,19.127,0.026169
-58.338,730.22,18.922,0.02592
-58.079,728.92,19.055,0.026148
-57.8,727.65,19.157,0.026334
-57.673,727.11,19.149,0.026342
-57.218,725.98,18.991,0.026168
-57.082,725.41,19.058,0.026282
-56.725,724.42,18.832,0.026
-56.512,723.57,19.118,0.026424
-56.171,722.64,18.88,0.026129
-55.968,722.67,18.418,0.025491
-55.763,722.5,18.119,0.025086
-55.527,721.3,19.293,0.026751
-55.237,721.28,18.875,0.026173
-54.915,721.04,18.318,0.025408
-54.83,720.67,18.102,0.025119
-54.504,720.2,18.072,0.02509
-54.234,720.34,18.331,0.025451
-54.034,719.79,18.083,0.025124
-53.735,719.22,17.758,0.024692
-53.594,718.65,17.931,0.024951
-53.361,718.01,17.954,0.025006
-53.025,717.32,17.99,0.025081
-52.817,716.63,18.469,0.025775
-52.534,715.08,18.912,0.026445
-52.285,714.26,18.243,0.025539
-52.098,713.45,17.421,0.024413
-51.824,711.9,17.705,0.024859
-51.532,710.6,18.208,0.025618
-51.326,710.3,18.677,0.026281
-51.15,709.81,18.412,0.025934
-50.779,708.59,18.426,0.026
-50.501,707.59,18.465,0.026087
-50.262,706.92,18.403,0.026025
-50.104,706.59,18.216,0.025773
-49.816,705.91,18.074,0.025593
-49.582,705.42,17.823,0.025259
-49.386,705.24,17.846,0.025299
-48.978,704.66,18.413,0.026125
-48.822,704.6,18.927,0.026858
-48.465,703.66,18.511,0.026301
-48.233,703.3,18.255,0.025942
-47.965,702.62,18.301,0.026042
-47.749,702.05,18.459,0.026292
-47.542,700.93,18.083,0.025797
-47.26,700.49,18.508,0.02642
-47.122,699.78,18.241,0.026063
-46.818,698.63,18.151,0.025971
-46.53,697.43,18.455,0.026449
-46.359,696.53,18.296,0.026251
-46.106,695.09,17.96,0.025822
-45.884,693.78,17.948,0.025854
-45.634,692.52,17.776,0.025662
-45.38,691.98,17.568,0.025383
-45.12,691.1,18.146,0.026249
-44.944,690.78,18.661,0.027002
-44.657,689.41,18.03,0.026153
-44.443,688.94,17.842,0.025897
-44.202,688.66,18.103,0.026287
-43.899,687.79,17.352,0.025227
-43.711,687.05,17.976,0.026164
-43.459,686.47,17.892,0.026064
-43.335,686.06,18.037,0.026291
-42.943,684.73,18.314,0.026745
-42.736,684.47,18.219,0.026614
-42.516,684.1,18.14,0.026513
-42.266,682.62,18.463,0.027052
-41.905,680.98,18.423,0.027061
-41.739,680.34,18.061,0.026558
-41.462,678.77,17.639,0.025999
-41.194,677.8,17.581,0.02594
-41.04,676.79,17.477,0.02584
-40.8,675.47,18.527,0.027435
-40.642,674.78,18.181,0.026947
-40.222,673.28,17.778,0.026409
-39.798,672.7,17.827,0.026509
-39.816,672.73,17.815,0.02649
-39.476,670.9,18.504,0.027581
-39.091,670.11,17.94,0.026775
-38.635,668.19,18.591,0.027847
-38.417,667.12,18.73,0.028106
-38.2,666.31,19.352,0.029071
-37.87,663.83,18.44,0.027773
-37.798,663.37,18.303,0.027589
-37.686,662.67,18.175,0.02743
-37.272,660.69,18.561,0.028102
-36.736,657.91,19.059,0.028966
-36.685,657.46,18.933,0.028798
-36.488,656.92,18.598,0.028312
-35.971,654.78,19.014,0.029028
-35.816,654.04,19.03,0.029079
-35.482,651.87,18.346,0.028139
-35.031,649.01,18.741,0.028928
-34.676,647.82,19.589,0.030299
-34.916,648.89,18.705,0.028864
-34.735,648.11,19.369,0.02994
-34.02,644.7,19.531,0.03034
-33.767,643.15,19.621,0.030561
-33.405,640.82,19.85,0.031032
-32.909,636.35,20.651,0.032477
-32.677,635.22,20.44,0.032195
-32.7,635.32,20.463,0.032228
-32.656,635.14,20.418,0.032165
-32.056,631.57,20.901,0.033102
-31.646,630.07,20.538,0.032602
-31.793,630.72,20.294,0.032179
-31.077,626.93,19.995,0.031915
-30.734,624.75,20.608,0.033005
-30.599,623.93,20.829,0.033403
-30.81,625.23,20.482,0.032778
-30.315,622.23,21.547,0.034656
-29.764,618.36,22.668,0.036734
-29.738,618.2,22.667,0.03674
-29.803,618.61,22.663,0.036712
-29.027,612.76,19.104,0.031189
-28.497,609.97,20.629,0.033812
-28.076,607.75,21.242,0.034988
-28.492,609.49,19.452,0.031938
-28.737,610.15,18.291,0.029995
-27.647,604.34,22.667,0.037568
-26.612,595.92,23.677,0.039848
-26.841,597.42,23.056,0.038694
-26.342,594.76,24.004,0.040466
-25.771,590.82,26.127,0.044231
-25.745,590.62,26.165,0.044309
-25.407,587.71,27.901,0.047526
-25.168,585.52,28.524,0.048775
-25.266,586.49,28.475,0.048618
-25.415,587.9,28.294,0.048203
-24.929,581.5,27.985,0.048163
-24.455,577.11,27.697,0.048012
-23.979,572.82,28.341,0.049515
-24.344,575.94,27.875,0.048424
-24.438,576.68,27.768,0.048175
-23.761,570.8,29.372,0.05151
-23.383,567.56,29.503,0.052011
-23.109,565.16,29.587,0.052423
-22.918,563.35,29.83,0.053019
-22.602,560.89,29.798,0.053191
-22.822,563.27,30.453,0.054162
-22.309,556.66,32.017,0.057586
-21.78,551.73,31.935,0.058005
-21.84,552.24,31.786,0.057681
-21.199,545.63,34.059,0.062561
-21.054,543.67,35.094,0.064683
-20.882,541.6,35.596,0.065868
-20.819,540.84,35.773,0.066293
-20.927,542.13,35.47,0.065567
-21.117,544.43,34.898,0.064227
-20.995,542.95,35.272,0.0651
-20.076,531.85,35.939,0.067704
-19.576,524.06,36.6,0.070042
-19.194,517.7,37.972,0.073404
-19.084,516.36,38.09,0.073834
-19.241,518.28,37.933,0.073245
-19.315,519.18,37.885,0.07302
-18.856,513.2,38.222,0.074561
-18.439,507.75,38.825,0.076586
-18.289,505.62,39.117,0.077495
-18.391,507.07,38.917,0.076874
-18.244,504.98,39.208,0.077775
-17.574,495.9,40.685,0.082215
-17.792,498.64,39.934,0.080255
-17.118,488.98,42.611,0.087435
-17.107,488.81,42.652,0.087551
-16.692,481.24,43.508,0.09084
-16.005,471.91,46.032,0.097908
-15.87,468.53,46.677,0.10022
-15.556,463.2,48.469,0.10506
-15.287,458.87,49.349,0.10793
-15.569,463.41,48.424,0.10491
-14.498,443.89,52.526,0.11903
-14.532,444.52,52.435,0.11867
-13.571,428.65,55.058,0.12894
-13.265,423.43,55.078,0.13059
-13.413,425.9,54.804,0.12919
-12.81,413.46,56.444,0.13684
-12.371,403.97,58.879,0.14671
-11.963,395.43,60.289,0.15352
-12.511,406.76,57.853,0.14322
-11.976,395.71,60.249,0.15331
-11.334,382.39,61.934,0.16311
-11.129,378.63,62.864,0.16714
-11.472,385.16,61.265,0.16013
-11.349,382.76,61.825,0.16261
-10.626,367.94,63.788,0.17458
-10.325,360.12,65.803,0.18452
-9.5929,343.72,68.98,0.20134
-9.6812,345.06,68.993,0.20057
-8.8503,331.8,69.129,0.20944
-8.9811,333.99,69.073,0.20791
-9.0128,334.53,69.07,0.20757
