Temperature (deg C),Storage Modulus (MPa),Loss Modulus (MPpa),Tan Delta
-80.001,1806.1,60.711,0.03351
-79.947,1807.6,60.178,0.033179
-79.782,1809.6,57.383,0.031508
-79.7,1811.8,56.694,0.031063
-79.568,1814.5,55.472,0.030279
-79.522,1815.1,54.482,0.02969
-79.324,1825.2,65.29,0.035787
-79.2,1827.7,65.642,0.03594
-79.019,1831.2,66.855,0.036556
-78.925,1832.8,67.416,0.036839
-78.754,1835.4,67.344,0.036764
-78.581,1838,67.247,0.036666
-78.465,1840.1,67.259,0.036637
-78.228,1843.4,66.304,0.036047
-78.082,1845,65.163,0.035386
-77.908,1847.5,65.155,0.035309
-77.652,1861.4,65.046,0.034946
-77.514,1861.7,65.209,0.035027
-77.258,1862.4,65.417,0.035126
-77.151,1862.5,65.581,0.035212
-76.781,1863.7,64.34,0.034523
-76.62,1863.9,65.115,0.034935
-76.345,1864.6,64.797,0.034752
-76.146,1864.9,64.606,0.034644
-75.897,1865,64.257,0.034454
-75.724,1865.3,63.776,0.03419
-75.492,1865.9,63.505,0.034033
-75.32,1866.4,63.659,0.034107
-75.023,1866.4,63.837,0.034204
-74.897,1866.2,64.739,0.034691
-74.579,1866.4,64.081,0.034335
-74.448,1866.4,64.266,0.034434
-74.092,1865.9,63.287,0.033918
-73.892,1865.5,63.32,0.033943
-73.66,1864.7,63.854,0.034244
-73.424,1864.3,63.376,0.033994
-73.212,1863.7,63.658,0.034158
-72.887,1862.6,62.493,0.033551
-72.716,1861.8,62.483,0.03356
-72.38,1860.6,62.93,0.033823
-72.238,1859.8,62.384,0.033544
-71.9,1858.1,62.988,0.033899
-71.779,1857.5,62.548,0.033673
-71.448,1855.9,62.919,0.033902
-71.221,1854.7,62.725,0.03382
-70.982,1853.1,62.447,0.033698
-70.772,1851.9,62.626,0.033819
-70.467,1850.1,62.379,0.033716
-70.323,1849.2,62.361,0.033723
-69.95,1846.6,61.024,0.033048
-69.769,1845.1,61.687,0.033432
-69.529,1843.3,61.96,0.03361
-69.32,1841.7,61.547,0.033416
-69.072,1840.3,61.215,0.033262
-68.852,1838.9,60.719,0.033016
-68.623,1837.7,61.335,0.033375
-68.377,1836.3,60.87,0.033146
-68.142,1835.2,60.456,0.032942
-67.959,1834.4,61.118,0.033318
-67.683,1833.3,60.695,0.033107
-67.465,1832.7,60.719,0.033132
-67.18,1832,59.995,0.032748
-67.018,1831.7,60.255,0.032896
-66.718,1831.3,60.959,0.033287
-66.464,1831.1,60.775,0.03319
-66.273,1831.3,61.256,0.033449
-66.02,1830.7,60.294,0.032934
-65.77,1829.5,60.969,0.033324
-65.51,1828.8,60.764,0.033225
-65.275,1827.8,60.903,0.03332
-65.021,1826.5,61.443,0.03364
-64.814,1825.6,60.749,0.033276
-64.55,1823.9,59.953,0.032866
-64.358,1822.6,59.85,0.032836
-64.055,1820.3,59.845,0.032873
-63.827,1818.2,60.529,0.033287
-63.579,1815.9,59.779,0.032917
-63.33,1812.9,60.447,0.033343
-63.127,1810.6,58.763,0.032453
-62.849,1807.8,59.009,0.03264
-62.551,1805.2,58.492,0.032397
-62.422,1804.1,58.47,0.032406
-62.062,1801.6,57.979,0.03218
-61.836,1799.6,58.079,0.032274
-61.583,1797.3,58.394,0.032492
-61.318,1795.4,59.077,0.032905
-61.106,1794.8,57.872,0.032246
-60.823,1793.2,57.319,0.031965
-60.627,1792.6,57.738,0.032211
-60.312,1790.9,58.349,0.032582
-60.108,1790.4,57.854,0.032316
-59.849,1789,58.557,0.032731
-59.606,1788.1,57.393,0.032096
-59.387,1787,57.354,0.032094
-59.037,1785,58.138,0.032568
-58.827,1783.4,58.341,0.032711
-58.566,1781.8,58.221,0.032676
-58.374,1779.9,58.135,0.032662
-58.088,1777.6,57.293,0.032233
-57.833,1775.1,58.01,0.032676
-57.576,1772.1,58.907,0.033236
-57.301,1768.2,58.693,0.033204
-57.189,1766.8,58.921,0.03336
-56.81,1762.6,56.709,0.03218
-56.507,1760.2,56.403,0.032043
-56.231,1757.3,57.009,0.032437
-56.015,1754.8,56.464,0.03217
-55.751,1753,57.258,0.032659
-55.521,1750.5,56.471,0.032255
-55.263,1746.8,54.38,0.031112
-55.046,1746.9,54.93,0.031428
-54.818,1747.3,54.851,0.031378
-54.488,1744.6,55.888,0.03202
-54.33,1743.7,55.72,0.031941
-54.115,1741.6,53.779,0.030869
-53.853,1741.7,54.061,0.031027
-53.528,1740.3,53.654,0.030819
-53.3,1738.4,54.552,0.031372
-53.036,1736.2,54.691,0.031497
-52.704,1735.3,56.219,0.032392
-52.523,1733,55.189,0.031841
-52.195,1731.6,56.124,0.032412
-51.976,1729.8,55.679,0.032185
-51.737,1725.5,55.217,0.031998
-51.441,1721.4,56.303,0.032716
-51.278,1719,56.012,0.032589
-50.877,1715.7,53.438,0.031134
-50.598,1712.2,54.15,0.031617
-50.38,1709.5,54.999,0.03216
-50.106,1708.7,54.769,0.03204
-49.95,1708.8,54.388,0.031818
-49.61,1705.6,55.141,0.032314
-49.465,1706.3,55.573,0.032553
-49.037,1702,54.044,0.031744
-48.879,1700.8,54.663,0.032129
-48.563,1700.5,54.872,0.032257
-48.354,1699.1,54.677,0.032171
-48.002,1696.5,53.952,0.031797
-47.868,1697.5,54.857,0.032311
-47.515,1695.2,57.527,0.033945
-47.336,1695.2,56.253,0.033187
-47.038,1692.4,56.327,0.033284
-46.88,1689.9,54.956,0.032522
-46.561,1687.5,55.562,0.032925
-46.381,1683.7,54.403,0.032314
-46.199,1681.2,54.556,0.032455
-45.832,1676.8,55.248,0.032957
-45.589,1675,53.91,0.032194
-45.31,1671.5,55.2,0.033025
-45.184,1670.3,55.016,0.03294
-44.851,1667.4,54.654,0.032782
-44.604,1664.2,54.512,0.032769
-44.385,1662.3,52.903,0.031841
-44.174,1662.3,54.215,0.032622
-43.988,1660.3,53.589,0.032283
-43.629,1656.7,52.862,0.0319
-43.421,1655,52.208,0.031543
-43.187,1652.9,54.249,0.032823
-42.879,1650.2,53.388,0.032354
-42.783,1649.6,52.782,0.031998
-42.385,1645.6,52.345,0.031801
-42.061,1641,51.842,0.031583
-41.841,1637.7,52.118,0.031818
-41.646,1635.6,53.896,0.032958
-41.437,1632.8,55.218,0.033834
-41.379,1631.6,54.605,0.033483
-41.212,1629.9,53.801,0.033025
-40.683,1622.9,53.204,0.032804
-40.236,1617.4,59.173,0.036606
-40.1,1615.6,59.065,0.036581
-39.866,1611.1,59.436,0.036904
-39.489,1606.4,59.38,0.036969
-39.396,1605.5,59.717,0.0372
-38.977,1600.3,61.076,0.038155
-38.844,1598.7,61.066,0.038182
-38.749,1597.6,60.963,0.038142
-38.29,1591.9,57.769,0.036262
-38.09,1588.5,58.704,0.03694
-38.018,1587.4,60.063,0.037836
-37.647,1582.3,61.357,0.038773
-37.039,1574.4,59.236,0.037601
-36.711,1568,59.727,0.038119
-36.603,1566.6,58.941,0.037658
-36.589,1565.7,58.584,0.03745
-36.245,1559.4,58.587,0.037603
-35.654,1549.8,58.776,0.037965
-35.372,1544,59.37,0.038489
-35.412,1544.8,59.365,0.038464
-35.381,1544.2,59.369,0.038483
-35.015,1536,62.143,0.040452
-34.36,1527.2,59.468,0.038948
-34.206,1524.5,59.227,0.038862
-33.578,1513.1,58.497,0.038637
-33.458,1510.8,57.141,0.0378
-33.55,1512.1,57.302,0.03787
-33.007,1505.1,57.916,0.038473
-32.503,1498.7,60.208,0.040179
-32.377,1496.9,60.335,0.040311
-32.075,1493.6,60.348,0.040404
-31.388,1485.7,59.432,0.039979
-31.372,1485.4,59.26,0.039867
-31.057,1480,65.521,0.044318
-30.429,1469.2,64.954,0.044235
-30.109,1463.7,66.855,0.045682
-29.866,1459.5,67.008,0.045917
-29.899,1460.2,67.345,0.046128
-30.096,1464,69.411,0.047417
-29.645,1455,65.919,0.045326
-29.385,1449.6,66.008,0.045553
-29.294,1447.9,66.039,0.045629
-28.941,1441.4,66.452,0.04612
-28.375,1430.1,67.572,0.047292
-28.223,1426.3,71.616,0.050176
-28.19,1425.7,71.463,0.050094
-28.17,1425.3,71.376,0.050047
-27.428,1411.3,68.61,0.048672
-27.155,1405.6,70.251,0.050033
-27.147,1405.4,70.257,0.050045
-27.068,1402.7,69.947,0.049922
-26.54,1392.5,74.113,0.053248
-26.493,1391.6,74.245,0.053376
-26.581,1393.2,73.991,0.053132
-25.91,1376.7,74.896,0.054432
-25.61,1369.4,75.826,0.055397
-25.328,1363.2,76.339,0.056024
-25.216,1360.4,75.626,0.055603
-24.944,1354.6,77.47,0.05718
-25.144,1359.5,77.174,0.056779
-24.926,1354.2,77.456,0.057186
-24.593,1345.5,76.945,0.057149
-24.288,1336.7,76.234,0.057026
-24.141,1332.9,76.36,0.057299
-23.974,1329,77.746,0.058533
-24.17,1333.9,76.472,0.057353
-23.751,1322.7,80.543,0.061017
-23.488,1314.8,80.858,0.061634
-23.323,1307.4,80.477,0.061572
-22.603,1286.9,83.241,0.064792
-22.273,1277.4,85.128,0.066879
-22.327,1279,84.812,0.066541
-22.209,1275.5,85.895,0.067545
-21.865,1265.3,88.682,0.070297
-22.103,1273.1,88.372,0.069585
-21.951,1268.1,88.443,0.069946
-21.369,1249.7,91.845,0.073692
-20.846,1233.3,96.578,0.078519
-20.543,1223.7,94.917,0.07779
-20.005,1208.4,100.73,0.083468
-20.066,1210.1,100.18,0.08291
-19.985,1207.9,100.9,0.083643
-19.452,1191.2,106.58,0.089607
-19.086,1179.6,107.08,0.09097
