Temperature (deg C),Storage Modulus (MPa),Loss Modulus (MPpa),Tan Delta
-80.064,1308.1,47.09,0.035791
-79.865,1312.3,47.221,0.035746
-79.734,1312.1,47.427,0.035902
-79.562,1304.2,45.493,0.034752
-79.417,1308.4,45.441,0.034607
-79.24,1307.2,45.189,0.034459
-79.152,1303.8,44.997,0.03441
-78.984,1302.2,44.472,0.034049
-78.836,1305.2,45.049,0.034438
-78.687,1298,44.437,0.034154
-78.508,1300.8,44.554,0.034178
-78.284,1299.7,44.509,0.034177
-78.187,1296.8,44.541,0.034281
-77.867,1248.8,42.588,0.034103
-77.704,1249,42.396,0.033943
-77.544,1249.2,42.435,0.033967
-77.33,1249.3,42.318,0.033873
-77.205,1249.4,42.099,0.033692
-76.959,1249.4,42.458,0.033981
-76.748,1249.4,41.956,0.033578
-76.55,1249.1,41.922,0.033559
-76.342,1248.8,42.966,0.034403
-76.075,1248.4,42.642,0.034155
-75.915,1248.3,43.225,0.034625
-75.654,1247.8,42.691,0.03421
-75.504,1247.5,42.972,0.034445
-75.208,1246.6,42.448,0.034049
-74.958,1245.3,41.989,0.033714
-74.791,1244.4,42.011,0.033758
-74.495,1242.8,42.511,0.034207
-74.302,1241.8,41.936,0.033769
-74.074,1240.8,42.072,0.033904
-73.868,1240,42.072,0.033928
-73.589,1239,42.764,0.034511
-73.381,1238.5,42.62,0.034411
-73.11,1237.7,41.983,0.033919
-72.962,1237.4,41.763,0.033749
-72.652,1236.6,42.097,0.03404
-72.46,1236,41.546,0.033613
-72.213,1235.5,42.04,0.034027
-71.977,1235.3,42.288,0.034232
-71.782,1235.3,42.628,0.034509
-71.467,1235.3,42.09,0.034071
-71.266,1235.1,41.86,0.03389
-71.036,1235.1,42.107,0.03409
-70.771,1234.8,41.311,0.033453
-70.588,1234.9,41.584,0.033673
-70.273,1234.4,42.286,0.034258
-70.045,1233.8,42.017,0.034055
-69.812,1233.2,41.939,0.034006
-69.588,1232.7,41.295,0.033497
-69.402,1232.1,41.569,0.033735
-69.036,1230.7,41.63,0.033827
-68.83,1229.6,41.409,0.033676
-68.577,1227.8,41.204,0.03356
-68.371,1226.5,41.152,0.033554
-68.131,1224.8,41.146,0.033596
-67.789,1222.8,41.172,0.03367
-67.621,1221.6,41.313,0.033815
-67.285,1219.7,40.524,0.033219
-67.099,1218.8,40.38,0.033128
-66.765,1217.7,40.457,0.033228
-66.537,1216.6,39.672,0.032608
-66.321,1215.6,39.807,0.032744
-66.075,1214.5,40.156,0.03306
-65.843,1214.4,40.234,0.033128
-65.51,1214,40.459,0.033324
-65.363,1214,40.798,0.033603
-65.15,1213.5,40.46,0.033338
-64.692,1212.7,39.674,0.03271
-64.527,1212.4,39.946,0.032944
-64.204,1211.9,40.423,0.033351
-63.919,1211,40.337,0.033303
-63.836,1210.9,39.744,0.032818
-63.409,1209.1,39.273,0.032478
-63.185,1208.2,40.233,0.033298
-62.914,1207.2,39.828,0.032986
-62.7,1206.1,39.649,0.032867
-62.492,1204.8,40.026,0.033217
-62.248,1202.5,38.345,0.031886
-61.933,1200,37.085,0.030901
-61.712,1198.7,38.898,0.032439
-61.508,1197.5,39.183,0.032721
-61.261,1196.1,39.946,0.033399
-60.978,1194.9,38.864,0.032527
-60.837,1194.1,39.065,0.032717
-60.522,1193.2,38.73,0.03246
-60.101,1191.4,38.493,0.032309
-59.932,1190.8,38.627,0.032439
-59.606,1190.2,39.619,0.033288
-59.322,1189.2,38.96,0.032762
-59.137,1188.9,38.625,0.032487
-58.839,1188.6,39.753,0.033445
-58.645,1188.5,39.641,0.033352
-58.363,1188.5,38.026,0.031991
-58.171,1188.4,37.846,0.031844
-57.947,1187.9,38.337,0.032271
-57.715,1187.3,38.55,0.032469
-57.495,1186.5,38.407,0.032369
-57.373,1185.9,38.318,0.03231
-56.87,1184.1,38.433,0.032452
-56.621,1182.6,38.99,0.032974
-56.37,1180.8,37.136,0.031445
-56.168,1179.2,37.723,0.031991
-55.905,1177.3,38.377,0.032607
-55.694,1175.9,37.445,0.031855
-55.369,1173.4,37.706,0.032142
-55.218,1172,38.199,0.032598
-54.927,1170.4,38.052,0.032505
-54.665,1169,38.064,0.03256
-54.51,1168.3,37.856,0.032402
-54.271,1167.2,38.166,0.032701
-53.957,1165.6,37.468,0.032145
-53.814,1164.9,37.954,0.032579
-53.583,1163.9,37.118,0.031891
-53.198,1162.4,37.191,0.031987
-53.016,1162,36.515,0.03141
-52.921,1161.8,36.023,0.030995
-52.592,1161.3,36.116,0.03109
-52.394,1160.5,37.383,0.03221
-51.905,1158.8,40.016,0.034549
-51.911,1158.9,39.978,0.034515
-51.639,1156.9,39.487,0.034143
-50.992,1152,38.277,0.033229
-50.57,1148.8,37.713,0.032818
-50.359,1147.6,38.97,0.033957
-50.251,1146.3,38.03,0.033177
