Strain (%),Stress (MPa)
0,-0.040671
2.1388,0.031673
3.1409,0.038871
4.143,0.063346
5.1451,0.071984
7.1493,0.1015
9.1385,0.14505
10.141,0.15333
11.143,0.082781
12.145,0.13461
13.132,0.10114
14.134,0.099698
15.136,0.16988
16.123,0.16772
17.125,0.13173
18.127,0.13137
19.115,0.13857
20.117,0.18176
21.104,0.22351
22.106,0.21739
23.093,0.21127
24.095,0.27894
25.112,0.24331
26.099,0.27786
27.101,0.23791
28.089,0.21703
29.091,0.28506
30.093,0.21919
31.08,0.23719
32.097,0.19688
33.084,0.21451
34.086,0.17924
35.088,0.30629
36.075,0.28362
37.077,0.22747
38.08,0.2775
39.067,0.2883
40.069,0.32645
41.071,0.29153
42.073,0.28182
43.06,0.24079
44.062,0.27498
45.049,0.29261
46.051,0.24223
47.039,0.32249
48.041,0.31565
49.043,0.36748
50.03,0.35236
51.032,0.34984
52.019,0.33616
53.021,0.32429
54.023,0.33544
55.025,0.29549
56.028,0.32681
57.015,0.28614
58.002,0.28938
59.004,0.30953
60.006,0.28362
61.008,0.31925
62.01,0.35308
63.012,0.33293
63.999,0.33832
65.001,0.3358
65.989,0.34048
66.991,0.32933
67.978,0.37144
68.98,0.32609
69.982,0.35812
70.984,0.31421
71.971,0.35308
72.973,0.31745
73.961,0.39447
74.963,0.38619
75.995,0.42542
76.982,0.34084
77.984,0.30881
78.986,0.31853
79.973,0.37108
80.975,0.38799
81.962,0.34336
82.964,0.34984
83.966,0.3772
84.969,0.38079
85.971,0.43334
86.973,0.44738
87.975,0.39627
88.962,0.40023
89.964,0.3772
90.966,0.43694
91.968,0.45134
92.97,0.41823
93.958,0.41535
94.96,0.42039
99.94,0.37576
104.92,0.47833
109.9,0.42111
114.9,0.40815
119.88,0.45314
124.86,0.4337
127.85,0.52836
131.84,0.41715
136.82,0.44018
141.8,0.51253
146.8,0.59207
148.79,0.47401
153.78,0.51253
158.76,0.5424
163.75,0.49741
168.74,0.55608
173.72,0.53448
178.7,0.52872
183.7,0.58883
188.68,0.55572
193.66,0.57695
198.65,0.55068
199.64,0.63922
204.64,0.65469
205.64,0.54816
208.62,0.63418
213.61,0.60215
218.59,0.69464
221.58,0.59135
226.56,0.6349
231.54,0.63346
236.54,0.64246
241.52,0.65829
246.5,0.69896
251.48,0.69572
256.46,0.73532
261.44,0.75871
266.44,0.73711
271.42,0.77167
276.4,0.78822
281.39,0.73172
286.36,0.8019
291.36,0.80694
296.35,0.81126
301.33,0.86921
306.31,0.81018
311.31,0.87352
316.29,0.85949
321.27,0.87892
326.26,0.95523
331.24,0.93831
336.22,0.98114
341.21,0.99014
346.2,0.97142
351.18,0.98654
356.18,0.99662
361.16,1.0924
366.14,1.0902
371.13,1.1312
376.11,1.1417
381.09,1.1014
385.09,1.2018
390.07,1.2176
395.06,1.2032
400.04,1.2457
405.03,1.2882
410.01,1.2572
415,1.2684
417.99,1.3932
422.99,1.3645
427.97,1.3932
432.95,1.4296
436.93,1.5221
437.93,1.4213
439.92,1.5268
444.91,1.5772
447.89,1.629
