Strain (%),Stress (MPa)
0,0.024864
0.9251,0.11267
1.9248,0.093629
2.9394,0.13015
3.9391,0.13054
4.9388,0.162
5.9236,0.21329
6.9233,0.21018
9.9224,0.28671
10.922,0.24903
11.922,0.37918
12.907,0.33217
13.906,0.31663
14.891,0.19503
15.891,0.3007
16.89,0.26301
17.89,0.32323
18.875,0.33566
19.875,0.27428
20.859,0.28943
21.859,0.3244
22.844,0.34887
23.844,0.4289
24.843,0.42347
25.843,0.33838
26.843,0.37646
27.828,0.30109
28.827,0.3512
29.812,0.39549
30.812,0.38423
31.811,0.42813
32.811,0.37762
33.811,0.37995
34.796,0.36985
35.795,0.36908
36.78,0.34305
37.78,0.42152
38.779,0.47164
39.779,0.34538
40.779,0.44444
41.764,0.36946
42.763,0.41064
43.748,0.38345
44.748,0.38112
45.733,0.34149
46.732,0.46232
47.732,0.36985
48.717,0.40404
49.717,0.45221
50.716,0.43201
51.701,0.47009
52.686,0.42929
53.685,0.45144
54.685,0.43357
55.685,0.43939
56.685,0.38228
57.669,0.4627
58.669,0.48329
59.654,0.40482
60.654,0.45532
61.653,0.46387
62.653,0.45571
63.653,0.44328
64.637,0.42502
65.637,0.46892
66.622,0.41336
67.622,0.46853
68.621,0.42618
69.621,0.52642
70.606,0.4425
71.605,0.4864
72.59,0.42618
73.59,0.45804
74.59,0.48757
75.574,0.48718
76.574,0.47514
77.574,0.4899
78.559,0.45571
79.558,0.49068
80.543,0.53807
81.543,0.54779
82.528,0.50932
83.542,0.53225
84.542,0.49029
85.542,0.49611
86.526,0.57148
87.526,0.5742
88.511,0.53225
89.511,0.53768
90.495,0.51515
91.51,0.50816
92.495,0.53497
93.494,0.48912
94.479,0.55905
95.479,0.57653
96.464,0.55905
97.463,0.52914
98.463,0.56799
99.463,0.50311
100.45,0.61694
101.45,0.58508
102.45,0.53963
103.43,0.5237
104.43,0.48679
105.42,0.54196
106.42,0.57459
107.42,0.55051
108.4,0.5404
109.4,0.46814
111.38,0.53768
113.37,0.60995
114.37,0.55012
119.34,0.60761
123.32,0.51826
125.31,0.59829
128.29,0.52642
133.26,0.59246
135.24,0.52914
137.24,0.62665
140.23,0.54856
141.21,0.47358
142.21,0.64569
147.19,0.55284
149.18,0.6181
153.16,0.55439
158.13,0.60451
161.12,0.53963
164.1,0.60645
169.07,0.5272
170.07,0.59052
175.05,0.58547
180.02,0.59557
184.99,0.62393
186.97,0.55594
187.97,0.62005
190.97,0.7094
192.96,0.61888
196.93,0.70435
197.93,0.61383
199.91,0.69386
202.89,0.62898
206.88,0.6958
208.86,0.63481
209.86,0.5676
211.86,0.66239
216.82,0.64685
221.8,0.75796
222.78,0.68415
223.78,0.58508
224.77,0.67405
229.74,0.6655
234.72,0.66744
235.72,0.72999
239.69,0.60295
242.69,0.71523
247.66,0.66006
252.63,0.70591
257.59,0.69464
262.58,0.68065
264.56,0.75913
265.56,0.65113
268.55,0.71329
271.53,0.64918
274.52,0.81507
276.5,0.70124
281.48,0.77428
285.45,0.6418
286.45,0.7366
290.42,0.65812
292.42,0.72883
297.39,0.66939
300.39,0.7533
305.36,0.71562
310.33,0.7432
315.29,0.79138
320.26,0.79565
321.26,0.72378
322.26,0.84577
323.26,0.71445
326.25,0.81935
329.22,0.6993
331.21,0.7603
333.2,0.8411
335.18,0.74981
339.17,0.82867
343.14,0.74981
347.12,0.8512
351.1,0.72067
352.09,0.81663
357.07,0.7871
362.06,0.84693
366.03,0.78166
371.01,0.89938
371.99,0.82712
376.98,0.81313
378.96,0.88656
383.95,0.78399
386.91,0.89122
391.88,0.7669
392.87,0.89666
397.85,0.85509
401.82,0.77545
402.82,0.88345
407.79,0.86558
412.77,0.92269
414.76,0.83877
416.74,0.91997
421.72,0.92424
424.71,0.84188
428.69,0.94056
430.68,0.87257
435.63,0.96581
436.63,0.90365
437.63,0.96387
439.62,0.831
440.6,0.92424
445.58,0.92618
446.57,0.85975
448.55,0.95144
449.57,0.88228
450.55,0.96659
452.55,0.90637
454.54,0.97436
458.52,0.89239
460.5,1.0175
461.5,0.94639
463.47,1.0326
465.47,0.93862
470.44,1.0221
471.44,0.93745
475.43,1.0089
477.41,0.94794
482.39,0.95455
483.38,1.0206
485.36,0.88656
487.36,0.99534
490.35,1.1259
491.35,1.0171
496.31,1.0144
501.28,0.95027
502.28,1.0272
503.28,0.96154
504.28,1.0357
508.25,0.96737
509.25,1.0583
512.24,1.136
