Temperature (deg C),Storage Modulus (MPa),Loss Modulus (MPpa),Tan Delta
-80.049,1931,56.62,0.029315
-79.989,1935.1,56.578,0.029222
-79.981,1935.6,56.57,0.029209
-79.927,1939.2,56.494,0.029107
-79.963,1936.8,56.548,0.029177
-79.915,1939.4,56.522,0.029118
-79.925,1938.8,56.537,0.029137
-79.908,1939.9,56.511,0.029104
-79.9,1940.4,56.499,0.02909
-79.857,1943,56.419,0.029
-79.913,1939.6,56.518,0.029113
-79.838,1944.1,56.378,0.028959
-79.877,1941.8,56.458,0.029042
-79.846,1943.7,56.396,0.028977
-79.844,1943.8,56.391,0.028972
-79.867,1942.4,56.439,0.029022
-79.839,1944.1,56.38,0.02896
-79.854,1943.2,56.413,0.028995
-79.83,1944.6,56.361,0.028941
-79.822,1945.1,56.339,0.028921
-79.854,1943.2,56.413,0.028994
-79.778,1947.6,56.225,0.028815
-79.784,1947.3,56.24,0.028829
-79.814,1945.5,56.321,0.028903
-79.777,1947.7,56.22,0.028811
-79.831,1944.6,56.361,0.028942
-79.735,1949.1,56.195,0.028771
-79.799,1945.6,56.374,0.02893
-79.711,1950.4,56.118,0.028706
-79.746,1948.6,56.227,0.028798
-79.733,1949.3,56.188,0.028765
-79.734,1949.2,56.191,0.028767
-79.748,1948.5,56.233,0.028803
-79.698,1951.1,56.071,0.028668
-79.686,1951.7,56.028,0.028634
-79.692,1951.5,56.048,0.02865
-79.674,1952.4,55.983,0.028599
-79.664,1952.9,55.943,0.028568
-79.7,1951,56.078,0.028674
-79.683,1951.9,56.015,0.028624
-79.726,1949.6,56.166,0.028746
-79.701,1951,56.082,0.028677
-79.75,1948.4,56.239,0.028809
-79.718,1950.1,56.139,0.028724
-79.776,1946.9,56.313,0.028874
-79.761,1947.7,56.272,0.028837
-79.785,1946.4,56.336,0.028895
-79.8,1945.6,56.375,0.028931
-79.826,1944.1,56.434,0.028988
-79.794,1945.9,56.359,0.028916
-79.821,1944.4,56.424,0.028979
-79.837,1943.5,56.458,0.029013
-79.821,1944.4,56.424,0.028979
-79.847,1942.9,56.478,0.029034
-79.832,1943.7,56.448,0.029002
-79.871,1941.5,56.52,0.029081
-79.87,1941.5,56.519,0.029079
-79.91,1939.2,56.579,0.029153
-79.87,1941.5,56.519,0.02908
-79.919,1938.6,56.59,0.029168
-79.893,1940.2,56.556,0.029123
-79.936,1937.6,56.609,0.029196
-79.93,1938,56.603,0.029186
-79.927,1929.4,57.264,0.029699
-79.908,1930.3,57.312,0.029713
-79.918,1929.9,57.283,0.029702
-79.892,1930.9,57.365,0.029731
-79.922,1929.7,57.27,0.029698
-79.895,1930.8,57.356,0.029728
-79.936,1929.2,57.229,0.029684
-79.927,1929.5,57.254,0.029693
-79.938,1929.1,57.223,0.029682
-79.94,1929,57.217,0.02968
-79.959,1928.3,57.161,0.029661
-79.965,1928,57.143,0.029656
-79.953,1928.5,57.178,0.029667
-79.999,1926.7,57.048,0.029625
-79.959,1928.3,57.162,0.029662
-79.978,1927.5,57.106,0.029644
-79.985,1927.2,57.088,0.029638
-79.969,1927.9,57.132,0.029652
-80.006,1926.4,57.029,0.029619
-79.947,1928.7,57.195,0.029673
-80.011,1926.2,57.016,0.029615
-79.928,1929.5,57.253,0.029692
-79.969,1927.9,57.132,0.029652
-79.919,1929.8,57.279,0.029701
-79.968,1927.9,57.136,0.029653
-79.812,1933.9,57.632,0.02983
-79.715,1937.5,57.967,0.029956
-79.665,1939.3,58.16,0.030035
-79.549,1943.3,58.569,0.030199
-79.5,1944.9,58.801,0.030301
-79.367,1949.1,59.352,0.030542
-79.284,1951.6,59.807,0.030755
-79.127,1955.8,60.54,0.031098
-79.056,1957.8,60.982,0.031314
-78.876,1962.1,61.963,0.031795
-78.712,1965.3,62.753,0.032191
-78.583,1967.2,63.168,0.032403
-78.418,1980.5,58.703,0.029654
-78.242,1982.6,58.766,0.029645
-78.076,1987,58.821,0.029602
-77.918,1987.8,58.729,0.029541
-77.679,1990,58.757,0.029522
-77.547,1989.5,58.69,0.0295
-77.337,1990.4,58.673,0.029488
-77.155,1990.5,59.038,0.029683
-76.975,1985.1,58.511,0.029474
-76.764,1983.8,58.376,0.029426
-76.546,1982.6,57.868,0.029188
-76.374,1981.4,58.02,0.029283
-76.137,1980.5,57.915,0.029243
-75.962,1980,57.715,0.029149
-75.738,1979.2,57.521,0.029063
-75.558,1978.7,57.605,0.029113
-75.315,1978.4,57.634,0.029132
-75.067,1978.2,57.408,0.02902
-74.861,1978,57.24,0.028939
-74.613,1977.9,57.088,0.028863
-74.436,1978.1,56.777,0.028703
-74.178,1978.3,56.969,0.028797
-73.966,1978.7,56.94,0.028776
-73.667,1979.1,56.845,0.028723
-73.515,1979.3,56.727,0.02866
-73.195,1979.3,56.766,0.02868
-73.004,1979,56.627,0.028614
-72.772,1978.5,56.405,0.028508
-72.537,1977.8,56.33,0.028481
-72.309,1976.8,56.463,0.028563
-72.029,1975.7,56.503,0.028599
-71.87,1974.9,56.653,0.028688
-71.581,1973.8,56.17,0.028458
-71.357,1972.5,56.821,0.028809
-71.164,1971.8,56.285,0.028545
-70.844,1969.8,56.477,0.028672
-70.688,1968.7,56.513,0.028708
-70.378,1966.1,56.672,0.028827
-70.16,1964.1,56.614,0.028827
-69.932,1962.2,55.375,0.028221
-69.695,1959.7,56.164,0.028661
-69.442,1956.6,56.221,0.028733
-69.217,1954.3,55.6,0.028449
-69.031,1952.3,55.415,0.028381
-68.732,1949.4,55.22,0.028326
-68.5,1947.1,54.987,0.028237
-68.277,1945.5,54.365,0.027943
-68.039,1943.2,54.992,0.0283
-67.782,1941.1,54.878,0.028268
-67.556,1940,54.24,0.027956
-67.305,1938.3,54.427,0.028079
-67.056,1936.9,53.572,0.027661
-66.81,1935.6,54.026,0.02791
-66.597,1934.2,53.744,0.027786
