Temperature (deg C),Storage Modulus (MPa),Loss Modulus (MPpa),Tan Delta
-80.02,2091.9,61.916,0.029602
-79.942,2091.4,62.013,0.029657
-79.956,2091.5,62,0.02965
-79.942,2091.4,62.013,0.029657
-79.954,2091.5,62.002,0.029651
-79.93,2091.3,62.022,0.029663
-79.967,2091.6,61.989,0.029643
-79.908,2091.2,62.034,0.029672
-79.951,2091.5,62.005,0.029652
-79.914,2091.2,62.031,0.029669
-79.916,2091.2,62.03,0.029669
-79.802,2092.2,62.128,0.029704
-79.757,2092,62.224,0.029751
-79.68,2093.8,62.418,0.029816
-79.594,2093.6,62.351,0.029788
-79.471,2095.9,62.319,0.029741
-79.39,2098.4,62.343,0.029715
-79.236,2098.5,62.323,0.0297
-79.182,2098.4,62.301,0.029689
-78.963,2104.5,62.138,0.029522
-78.848,2122.9,63.63,0.029995
-78.689,2127.7,63.761,0.029994
-78.556,2131.5,63.938,0.030024
-78.387,2135.9,64.461,0.030206
-78.219,2139.7,64.029,0.029956
-78.079,2142.6,64.291,0.030041
-77.89,2146.1,64.453,0.030066
-77.681,2149.6,64.479,0.030029
-77.542,2151.4,64.196,0.029872
-77.296,2179.5,64.534,0.029609
-77.142,2179,64.698,0.029691
-76.931,2178.6,63.386,0.029094
-76.755,2178,64.46,0.029596
-76.506,2177.5,63.891,0.029341
-76.311,2176.8,63.786,0.029303
-76.077,2175.7,63.54,0.029203
-75.949,2175.1,63.613,0.029246
-75.67,2173.2,63.568,0.029251
-75.468,2171.8,63.726,0.029342
-75.255,2169.9,63.065,0.029064
-74.951,2167.3,63.344,0.029227
-74.748,2165.3,63.073,0.029128
-74.52,2163,62.822,0.029043
-74.322,2161.2,63.065,0.02918
-74.081,2159.1,62.57,0.02898
-73.864,2157.5,62.498,0.028967
-73.607,2155.6,62.612,0.029046
-73.447,2154.5,62.532,0.029024
-73.157,2153.1,62.273,0.028922
-72.972,2152.3,62.452,0.029016
-72.672,2151.3,62.256,0.028939
-72.472,2150.7,62.21,0.028925
-72.256,2150.4,61.87,0.028772
-72.014,2150.2,62.026,0.028846
-71.78,2150.4,61.488,0.028595
-71.553,2150.9,62.1,0.028872
-71.329,2151.4,61.955,0.028798
-71.033,2152.3,61.416,0.028535
-70.834,2153,61.632,0.028627
