Temperature (deg C),Storage Modulus (MPa),Loss Modulus (MPpa),Tan Delta
-80.038,1848.9,49.398,0.026736
-79.912,1848.1,49.961,0.027054
-79.788,1848.7,50.355,0.02726
-79.681,1849.4,50.262,0.027205
-79.518,1848.2,50.784,0.027515
-79.424,1849.3,50.846,0.027533
-79.228,1862.9,49.388,0.026523
-79.091,1864.7,49.266,0.026431
-78.913,1866.9,50.027,0.026802
-78.788,1868.6,50.328,0.026935
-78.569,1871.2,49.963,0.026704
-78.383,1873,49.818,0.026602
-78.208,1874.1,50.088,0.026728
-77.964,1875.4,51.393,0.027405
-77.748,1888.4,51.435,0.027238
-77.618,1888.8,52.017,0.02754
-77.374,1888.2,50.497,0.026745
-77.248,1888.2,50.852,0.026932
-76.98,1888.1,51.196,0.027116
-76.778,1887.6,51.294,0.027176
-76.619,1887.5,51.276,0.027168
-76.338,1887.9,51.545,0.027303
-76.167,1888,51.836,0.027456
-75.932,1888,52.465,0.027789
-75.755,1887.9,51.61,0.027339
-75.479,1888.1,52.584,0.02785
-75.258,1887.9,52.809,0.027974
-75.072,1887.5,53.212,0.028193
-74.826,1887.6,52.455,0.027789
-74.593,1887.7,51.894,0.02749
-74.358,1887.8,52.391,0.027753
-74.077,1888,51.851,0.027463
-73.859,1888.2,52.216,0.027655
-73.631,1888.9,51.748,0.027396
-73.426,1889.3,52.168,0.027612
-73.204,1889.1,51.446,0.027233
-72.96,1888.7,51.252,0.027135
-72.724,1889.3,51.657,0.027342
-72.493,1889.4,51.234,0.027117
-72.264,1889.2,50.807,0.026894
-72.012,1889.7,51.032,0.027006
-71.824,1889.3,50.45,0.026702
-71.54,1889.6,50.799,0.026883
-71.328,1889.3,50.58,0.026771
-71.048,1889,50.583,0.026778
-70.876,1888.7,50.576,0.026778
-70.579,1887.7,50.723,0.02687
-70.333,1886.8,50.594,0.026815
-70.109,1885.8,50.524,0.026791
-69.825,1885.2,50.914,0.027006
-69.636,1884.5,50.844,0.026979
-69.3,1883.2,50.925,0.02704
-69.154,1883,51.196,0.027187
-68.869,1881,50.431,0.026811
-68.622,1880.2,50.401,0.026805
-68.426,1879.1,50.308,0.026772
-68.142,1877.6,50.154,0.026711
-67.908,1876.2,50.316,0.026818
-67.667,1874.2,50.01,0.026682
-67.41,1872.6,50.78,0.027118
-67.194,1870.5,49.967,0.026712
-66.921,1868.8,50.002,0.026755
-66.693,1866.8,49.497,0.026513
-66.466,1865.2,49.153,0.026351
-66.273,1864.2,49.341,0.026466
-66.02,1862.8,49.318,0.026474
-65.784,1861.6,49.125,0.026388
-65.545,1860.6,48.967,0.026316
-65.296,1859.1,48.781,0.026238
-65.07,1858.8,49.346,0.026545
-64.791,1857.1,48.532,0.026132
-64.603,1857,48.875,0.026317
-64.297,1856.4,48.03,0.025872
-64.109,1856.8,48.512,0.026127
-63.772,1857,48.15,0.025928
-63.591,1857,47.908,0.025798
-63.236,1857.4,48.475,0.026097
-63.083,1857.3,48.07,0.02588
-62.781,1856.8,47.791,0.025737
-62.623,1856.4,47.61,0.025646
-62.26,1855.5,48.523,0.026151
-62.053,1854.6,48.007,0.025884
-61.777,1852.4,47.929,0.025874
-61.56,1852.3,48.444,0.026154
-61.226,1850.6,48.947,0.026451
-61.074,1849.8,48.479,0.026209
-60.805,1848,49.129,0.026587
-60.546,1845.7,48.527,0.026292
-60.281,1842.3,48.114,0.02611
-60.06,1840.6,48,0.026077
-59.773,1837.3,48.247,0.026255
-59.604,1835.2,47.9,0.026093
-59.324,1832.4,47.961,0.026162
-58.973,1829.6,48.22,0.026349
-58.814,1827.9,47.712,0.026093
-58.513,1825.5,47.317,0.025911
-58.238,1824.1,46.884,0.025696
-58.044,1822.8,47.181,0.025876
-57.775,1821,46.438,0.025492
-57.519,1820,45.828,0.025175
-57.274,1819.5,46.547,0.025574
-57.002,1819.1,46.135,0.025353
-56.754,1819.1,45.57,0.025044
-56.515,1819,46.227,0.025408
-56.18,1818.6,46.17,0.025382
-56.049,1818.5,46.814,0.025738
-55.695,1817.4,45.681,0.02513
-55.487,1816.7,46.06,0.02535
-55.194,1815.5,46.06,0.025364
-54.953,1813.8,45.479,0.025069
-54.723,1811.6,44.565,0.024599
-54.539,1811.4,46.32,0.025572
-54.241,1809.1,45.142,0.024949
-53.963,1806.2,44.896,0.024857
-53.694,1804.3,46.417,0.025727
-53.491,1799.8,45.767,0.025428
-53.158,1797.6,43.913,0.02442
-52.947,1795.6,44.078,0.024543
-52.703,1792.2,45.153,0.025197
-52.391,1789.3,45.432,0.025394
-52.267,1789,44.373,0.024804
-51.774,1786.7,44.179,0.024726
-51.553,1784.9,45.728,0.025619
-51.267,1783.8,44.522,0.024964
